26,4,GG-01-EC-CPU-0004,000017-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),CPU,CLON,INTEL PENTIUM INSIDE,"CPU COLOR NEGRO, ETIQUET MICROSOFOT YY4NF/03307129677394",QUASAD COMPUTER,QUASAD,SIN MODELO,SIN SERIE,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,569.68,0,SIN DIMENSIONES,2_bien_26.JPG,0,05-OCT-16,,,,,,,,,,,,,no,0
27,4,GG-01-EC-MON-0004,000018-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),MONITOR,PANTALLA PLANA,"PANTALLA PLANA 19""",MONITOR COLOR NEGRO,SAMSUNG,SAMSUNG,S20D300,ZZDVH4LH400391Y,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,160.00,0,SIN DIMENSIONES,2_bien_27.JPG,0,05-OCT-16,,,,,,,,,,,,,no,0
29,4,GG-01-EC-TEC-0004,000410-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),TECLADO,INHALAMBRICO,MULTIFUNCION,TECLADO COLOR NEGRO,GENIUS,GENIUS,GK-140001/K,XP157S411292,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,8.00,0,SIN DIMENSIONES,2_bien_29.JPG,0,05-OCT-16,,,,,,,,,,,,,no,0
30,4,GG-01-EC-MOU-0005,000411-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),MOUSE,INHALAMBRICO,SCROLL ,MOUSE,GENIUS,GENIUS,GK-140001/M,XP157S411292,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,0.00,0,,2_bien_30.JPG,0,,,,,,,,,,,,,,no,0
31,4,GG-01-EO-TEL-0001,000412-2,EQUIPO DE OFICINA (E.O.),EQUIPO DE OFICINA (E.O.),TELEFONO,DIGITAL,DIGITAL CON PANTALLA ,TELEFONO CONVENCIONAL COLOR NEGRO,GRANDSTREAM,GRANDSTREAM,GXP1620,22MTB2R690A0FBAS,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,97.25,0,SIN DIMENSIONES,2_bien_31.JPG,0,01-MAY-17,,,,,,,,,,,,,no,0
32,4,GG-01-EC-PAR-0001,000413-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),PARLANTES,DOS BOCINAS,DOS BOCINAS,PARLANTE,GENIUS,GENIUS,SP-U120,UG1602509602,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,15.00,0,,2_bien_32.JPG,0,10-JUN-17,,,,,,,,,,,,,no,0
33,4,GG-01-EC-IMP-0002,000019-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),IMPRESORA,LASER,DIGITAL 3 BANDEJAS,IMPRESORA,SAMSUNG,SAMSUNG,SCX-3405F,Z6U6B8KCAB009K9,NEGRO,REGULAR,PLASTICO,ADMINSTRACION,,200.00,0,,2_bien_33.JPG,0,08-FEB-13,,,,,,,,,,,,,no,0
34,3,,000016-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),SILLA,GIRATORIA,SIN APOYA BRAZOS FORRADA DE CORROSIL,SIN INFORMACION,SIN CODIGO ANTERIOR,SIN MARCA,SIN MODELO,SIN SERIE,NEGRO,REGULAR,PLASTICO,ADMINSTRACION,,0.00,0,SIN DIMENSIONES,2_bien_34.JPG,0,,,,,,,,,,,,,,no,0
35,4,GG-01-EC-REG-0003,000020-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),REGULADOR,DE VOLTAJE,8 TOMAS,REGULADOR COLOR NEGRO,FORZA,FORZA,FVR-1211B,15057033903,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,45.00,0,SIN DIMENSIONES,2_bien_35.JPG,0,05-OCT-16,,,,,,,,,,,,,no,0
36,4,DS-01-EC-REG-0001,000021-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),REGULADOR,1000VA,4 TOMAS,REGULADOR COLOR NEGRO,TERRAX,TERRAX,UPS-1000VA,60004561401080300,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,0.00,0,SIN DIMENSIONES,2_bien_36.JPG,0,,,,,,,,,,,,,,no,0
37,4,,000414-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),DISCO DURO,1 TB,1 TB,CON USB,SIN CODIGO ANTERIOR,SEAGATE,SRD00F10,1D6AP6-500,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,120,0,SIN DIMENSIONES,2_bien_37.JPG,0,22/05/2013,,,,,,,,,,,,,no,0
